356.27, 886.92
368.77, 902.30
381.27, 915.15
395.39, 923.93
408.14, 930.08
421.52, 933.83
433.34, 936.69
447.39, 929.29
460.21, 909.32
470.17, 880.74
477.89, 846.50
484.64, 804.64
490.26, 762.86
495.32, 716.21
499.26, 682.83
502.63, 645.78
506.01, 611.34
509.38, 573.25
513.32, 530.33
517.26, 484.02
521.19, 439.54
525.13, 408.89
533.81, 375.01
542.75, 404.29
546.50, 444.52
549.88, 488.91
553.25, 537.49
556.63, 585.80
560.00, 634.63
563.38, 679.03
567.88, 725.73
576.74, 760.35
588.97, 731.45
597.87, 745.53
603.87, 787.33
609.50, 828.87
616.92, 875.43
625.89, 915.45
637.06, 948.07
651.12, 973.01
663.81, 991.52
674.90, 1008.81
688.12, 1031.29
702.02, 1055.35
724.80, 1095.81
738.74, 1119.99
753.36, 1144.27
766.18, 1165.08
777.67, 1184.87
790.73, 1210.97
798.48, 1227.02
